date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:39:01	24989/24989	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://lycka-group.com/js/tether.min.js	/home/bharath/websites/Arack/lycka-group.com/js/tether.min.js	(from http://lycka-group.com/)
19:39:02	87237/87237	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://lycka-group.com/js/mixitup.min.js	/home/bharath/websites/Arack/lycka-group.com/js/mixitup.min.js	(from http://lycka-group.com/)
19:39:02	46653/46653	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://lycka-group.com/js/bootstrap.min.js	/home/bharath/websites/Arack/lycka-group.com/js/bootstrap.min.js	(from http://lycka-group.com/)
19:39:02	1835/1835	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://lycka-group.com/js/classie.js	/home/bharath/websites/Arack/lycka-group.com/js/classie.js	(from http://lycka-group.com/)
19:39:03	14762/14762	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://lycka-group.com/js/nivo-lightbox.js	/home/bharath/websites/Arack/lycka-group.com/js/nivo-lightbox.js	(from http://lycka-group.com/)
19:39:03	14916/14916	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://lycka-group.com/js/owl.carousel.min.js	/home/bharath/websites/Arack/lycka-group.com/js/owl.carousel.min.js	(from http://lycka-group.com/)
19:39:04	12597/12597	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://lycka-group.com/js/jquery.stellar.min.js	/home/bharath/websites/Arack/lycka-group.com/js/jquery.stellar.min.js	(from http://lycka-group.com/)
19:39:04	5138/5138	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://lycka-group.com/js/jquery.nav.js	/home/bharath/websites/Arack/lycka-group.com/js/jquery.nav.js	(from http://lycka-group.com/)
19:39:05	1128/1128	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Oct%202017%2014:09:03%20GMT	http://lycka-group.com/fonts/fontawesome-webfont.woff2?v=4.7.0	/home/bharath/websites/Arack/lycka-group.com/fonts/fontawesome-webfont.233e6e.delayed	(from http://lycka-group.com/css/font-awesome.min.css)
19:39:05	475/475	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://lycka-group.com/js/smooth-scroll.js	/home/bharath/websites/Arack/lycka-group.com/js/smooth-scroll.js	(from http://lycka-group.com/)
19:39:05	5088/5088	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://lycka-group.com/js/smooth-on-scroll.js	/home/bharath/websites/Arack/lycka-group.com/js/smooth-on-scroll.js	(from http://lycka-group.com/)
19:39:06	5693/5693	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://lycka-group.com/js/wow.js	/home/bharath/websites/Arack/lycka-group.com/js/wow.js	(from http://lycka-group.com/)
19:39:14	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226f12d92cb116d31:0%22	http://lycka-group.com/fonts/fontawesome-webfont.eot?v=4.7.0	/home/bharath/websites/Arack/lycka-group.com/fonts/fontawesome-webfont3e6e.eot	(from http://lycka-group.com/css/font-awesome.min.css)
19:39:19	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%22fed6dd2cb116d31:0%22	http://lycka-group.com/fonts/fontawesome-webfont.svg?v=4.7.0	/home/bharath/websites/Arack/lycka-group.com/fonts/fontawesome-webfont3e6e.svg	(from http://lycka-group.com/css/font-awesome.min.css)
19:39:20	798/798	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://lycka-group.com/js/menu.js	/home/bharath/websites/Arack/lycka-group.com/js/menu.js	(from http://lycka-group.com/)
19:39:23	98024/98024	---M--	200	added ('OK')	font/x-woff	etag:%229cfee42cb116d31:0%22	http://lycka-group.com/fonts/fontawesome-webfont.woff?v=4.7.0	/home/bharath/websites/Arack/lycka-group.com/fonts/fontawesome-webfont3e6e.woff	(from http://lycka-group.com/css/font-awesome.min.css)
19:39:23	11811/11811	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://lycka-group.com/js/jquery.vide.js	/home/bharath/websites/Arack/lycka-group.com/js/jquery.vide.js	(from http://lycka-group.com/)
19:39:28	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226f12d92cb116d31:0%22	http://lycka-group.com/fonts/fontawesome-webfont.eot?	/home/bharath/websites/Arack/lycka-group.com/fonts/fontawesome-webfontd41d.eot	(from http://lycka-group.com/css/font-awesome.min.css)
19:39:29	55820/55820	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228dc3e92cb116d31:0%22	http://lycka-group.com/fonts/Linearicons-Free.eot?w118d	/home/bharath/websites/Arack/lycka-group.com/fonts/Linearicons-Free54e9.eot	(from http://lycka-group.com/css/line-icons.css)
19:39:29	1128/1128	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Oct%202017%2014:09:28%20GMT	http://lycka-group.com/fonts/Linearicons-Free.woff2?w118d	/home/bharath/websites/Arack/lycka-group.com/fonts/Linearicons-Free.2954e9.delayed	(from http://lycka-group.com/css/line-icons.css)
19:39:30	1067/1067	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://lycka-group.com/js/jquery.counterup.min.js	/home/bharath/websites/Arack/lycka-group.com/js/jquery.counterup.min.js	(from http://lycka-group.com/)
19:39:30	20219/20219	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://lycka-group.com/js/jquery.magnific-popup.min.js	/home/bharath/websites/Arack/lycka-group.com/js/jquery.magnific-popup.min.js	(from http://lycka-group.com/)
19:39:30	8044/8044	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://lycka-group.com/js/waypoints.min.js	/home/bharath/websites/Arack/lycka-group.com/js/waypoints.min.js	(from http://lycka-group.com/)
19:39:31	6055/6055	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://lycka-group.com/js/form-validator.min.js	/home/bharath/websites/Arack/lycka-group.com/js/form-validator.min.js	(from http://lycka-group.com/)
19:39:31	55820/55820	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228dc3e92cb116d31:0%22	http://lycka-group.com/fonts/Linearicons-Free.eot?	/home/bharath/websites/Arack/lycka-group.com/fonts/Linearicons-Freed41d.eot	(from http://lycka-group.com/css/line-icons.css)
19:39:32	1600/1600	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://lycka-group.com/js/contact-form-script.js	/home/bharath/websites/Arack/lycka-group.com/js/contact-form-script.js	(from http://lycka-group.com/)
19:39:33	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%221c9ce22cb116d31:0%22	http://lycka-group.com/fonts/fontawesome-webfont.ttf?v=4.7.0	/home/bharath/websites/Arack/lycka-group.com/fonts/fontawesome-webfont3e6e.ttf	(from http://lycka-group.com/css/font-awesome.min.css)
19:39:33	3537/3537	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://lycka-group.com/js/main.js	/home/bharath/websites/Arack/lycka-group.com/js/main.js	(from http://lycka-group.com/)
19:39:34	165742/165742	URF---	200	added ('OK%20(cached)')	application/eot		http://lycka-group.com/fonts/fontawesome-webfont.eot?v=4.7.0	/home/bharath/websites/Arack/lycka-group.com/fonts/fontawesome-webfont3e6e.eot	(from http://lycka-group.com/css/font-awesome.min.css)
19:39:35	205847/205847	---M--	200	added ('OK')	image/svg+xml	etag:%229125ec2cb116d31:0%22	http://lycka-group.com/fonts/Linearicons-Free.svg?w118d	/home/bharath/websites/Arack/lycka-group.com/fonts/Linearicons-Free54e9.svg	(from http://lycka-group.com/css/line-icons.css)
19:39:37	165742/165742	URF---	200	added ('OK%20(cached)')	application/eot		http://lycka-group.com/fonts/fontawesome-webfont.eot?	/home/bharath/websites/Arack/lycka-group.com/fonts/fontawesome-webfontd41d.eot	(from http://lycka-group.com/css/font-awesome.min.css)
19:39:37	98024/98024	URF---	200	added ('OK%20(cached)')	application/woff		http://lycka-group.com/fonts/fontawesome-webfont.woff?v=4.7.0	/home/bharath/websites/Arack/lycka-group.com/fonts/fontawesome-webfont3e6e.woff	(from http://lycka-group.com/css/font-awesome.min.css)
19:39:38	55696/55696	---M--	200	added ('OK')	font/x-woff	etag:%22c84df32cb116d31:0%22	http://lycka-group.com/fonts/Linearicons-Free.woff?w118d	/home/bharath/websites/Arack/lycka-group.com/fonts/Linearicons-Free54e9.woff	(from http://lycka-group.com/css/line-icons.css)
19:39:38	1128/1128	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Oct%202017%2014:09:38%20GMT	http://lycka-group.com/css/grabbing.png	/home/bharath/websites/Arack/lycka-group.com/css/grabbing.2d.delayed	(from http://lycka-group.com/css/owl.carousel.css)
19:39:38	165548/165548	URF---	200	added ('OK%20(cached)')	application/ttf		http://lycka-group.com/fonts/fontawesome-webfont.ttf?v=4.7.0	/home/bharath/websites/Arack/lycka-group.com/fonts/fontawesome-webfont3e6e.ttf	(from http://lycka-group.com/css/font-awesome.min.css)
19:39:39	55820/55820	URF---	200	added ('OK%20(cached)')	application/eot		http://lycka-group.com/fonts/Linearicons-Free.eot?w118d	/home/bharath/websites/Arack/lycka-group.com/fonts/Linearicons-Free54e9.eot	(from http://lycka-group.com/css/line-icons.css)
19:39:39	55820/55820	URF---	200	added ('OK%20(cached)')	application/eot		http://lycka-group.com/fonts/Linearicons-Free.eot?	/home/bharath/websites/Arack/lycka-group.com/fonts/Linearicons-Freed41d.eot	(from http://lycka-group.com/css/line-icons.css)
19:39:39	55696/55696	URF---	200	added ('OK%20(cached)')	application/woff		http://lycka-group.com/fonts/Linearicons-Free.woff?w118d	/home/bharath/websites/Arack/lycka-group.com/fonts/Linearicons-Free54e9.woff	(from http://lycka-group.com/css/line-icons.css)
19:39:39	55620/55620	---M--	200	added ('OK')	application/octet-stream	etag:%22edeaf02cb116d31:0%22	http://lycka-group.com/fonts/Linearicons-Free.ttf?w118d	/home/bharath/websites/Arack/lycka-group.com/fonts/Linearicons-Free54e9.ttf	(from http://lycka-group.com/css/line-icons.css)
19:39:40	1128/1128	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Oct%202017%2014:09:40%20GMT	http://lycka-group.com/css/AjaxLoader.gif	/home/bharath/websites/Arack/lycka-group.com/css/AjaxLoader.2e.delayed	(from http://lycka-group.com/css/owl.theme.css)
19:39:41	1128/1128	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Oct%202017%2014:09:40%20GMT	http://lycka-group.com/img/hero-area.jpg	/home/bharath/websites/Arack/lycka-group.com/img/hero-area.2f.delayed	(from http://lycka-group.com/css/main.css)
19:39:47	107344/107344	---M--	200	added ('OK')	image/jpeg	etag:%22ad7fc2cb116d31:0%22	http://lycka-group.com/img/bg_2.jpg	/home/bharath/websites/Arack/lycka-group.com/img/bg_2.jpg	(from http://lycka-group.com/css/main.css)
19:39:51	153001/153001	---M--	200	added ('OK')	image/jpeg	etag:%227139ff2cb116d31:0%22	http://lycka-group.com/img/bg1.jpg	/home/bharath/websites/Arack/lycka-group.com/img/bg1.jpg	(from http://lycka-group.com/css/main.css)
